Rank,player,Followers,Team,BPM
185,Pat Connaughton,180990,Milwaukee Bucks,-1.6
189,Kyle Anderson,177249,Golden State Warriors,1.1
191,Kelly Olynyk,174831,Toronto Raptors,1.8
193,Franz Wagner,173081,Orlando Magic,1.2
196,Max Strus,166127,Cleveland Cavaliers,-0.6
200,Ivica Zubac,163940,Los Angeles Clippers,0.8
202,Terance Mann,163637,Los Angeles Clippers,-1.5
207,Keldon Johnson,160471,San Antonio Spurs,-1.7
208,Jalen Duren,159357,Detroit Pistons,-0.1
210,Nickeil Alexander-Walker,155958,Minnesota Timberwolves,0.2
212,Daniel Gafford,153067,Dallas Mavericks,2.6
214,Royce O'Neale,149980,Phoenix Suns,0.0
215,James Harden,149792,Los Angeles Clippers,4.1
216,Jaden McDaniels,147763,Minnesota Timberwolves,-2.6
223,Jalen Johnson,142309,Atlanta Hawks,1.2
224,Ochai Agbaji,139440,Toronto Raptors,-4.4
225,Bilal Coulibaly,137694,Washington Wizards,-4.2
229,Kevin Huerter,133778,Sacramento Kings,-0.8
231,Isaiah Hartenstein,130196,Oklahoma City Thunder,3.5
237,Nick Richards,118686,Charlotte Hornets,-2.3
241,Georges Niang,111231,Cleveland Cavaliers,-2.9
244,Dorian Finney-Smith,109032,Brooklyn Nets,-2.0
252,Keegan Murray,104625,Sacramento Kings,-0.9
257,Zach Collins,95801,San Antonio Spurs,-2.0
261,Aaron Nesmith,94037,Indiana Pacers,-0.5
263,Devin Vassell,93261,San Antonio Spurs,0.0
266,Brook Lopez,90277,Milwaukee Bucks,1.0
276,Andrew Nembhard,85187,Indiana Pacers,-2.2
289,Cason Wallace,75400,Oklahoma City Thunder,0.1
292,Sam Hauser,73114,Boston Celtics,1.2
294,Corey Kispert,72274,Washington Wizards,-2.1
296,Malaki Branham,69837,San Antonio Spurs,-5.6
299,Saddiq Bey,65060,Washington Wizards,-1.8
320,Santi Aldama,55312,Memphis Grizzlies,-0.2
356,Toumani Camara,33241,Portland Trail Blazers,-3.1
359,Jabari Walker,31334,Portland Trail Blazers,-3.3
